name,code,credits
ICYA1114C,COMPL INTRO A ING CIVIL,0.0
MUSI2210,CONTRAPUNTO AVANZADO 1,3.0
ADMI3991,PRACTICA EMPRESARIAL,6.0
LENG1103,INGLÉS 3,0.0
CPOL2602,SEMILLERO PROG INVESTIG. CPOL,1.0
QUIM1103C,COMPL. DE QUÍMICA,0.0
ISIS1204,ALGORITMICA Y PROGR. OBJ. I,3.0
IQUI3032,TALLER DISEÑO PLANTAS,0.0
DEPO1218,TENIS DE CAMPO INTERMEDIOS,1.0
LENG1105,INGLÉS 5,0.0
LENG1105,INGLÉS 5,0.0
ICYA3203,GERENCIA PROY CONSTRUCCION,3.0
IELE1006,FUNDAMENTOS DE CIRCUITOS,4.0
LENG1204,FRANCÉS 4,3.0
MGAP4441,CADENAS DE VALOR SOSTENIBLES,2.0
ECON3635,TEOR.FINANZAS PARA ECONOMISTAS,3.0
ICYA2401L,LAB MECANICA DE FLUIDOS,0.0
MATE1214C,CALC.INTEG-ECUAC.DIFEREN COMPL,0.0
MBIT4103,FORMACIÓN DIRECTIVOS TI,4.0
ARTE3200,ARTE Y PROCESOS CIENTIFICOS,3.0
ICYA3308,INGENIERIA DE PAVIMENTOS,3.0
MUSI2420,RECITAL MITAD DE CARRERA INSTR,3.0
LENG1105,INGLÉS 5,0.0
MUSI2415,INSTRUMENTO 5 - 15 - PIANO,4.0
ISIS2603L,LAB DLLO DE SW EN EQUIPO,0.0
MATE1207C,CALCULO VECTORIAL COMPL,0.0
ARTE3118,FOTO DOCUMENTAL,3.0
LENG1301,ALEMAN 1,3.0
IBIO1110,PROGRAMA DE ACOMPAÑAMIENTO,0.0
DEPO3402,SELECCION VOLEIBOL ARENA MASC,1.0
MATE1207C,CALCULO VECTORIAL COMPL,0.0
IELE2300L,LAB.ANALISIS SIST. CONTROL,0.0
DDER6403,TUTORIA 3,4.0
ADMI1590,TALLER DE CREATIVIDAD,1.0
IQUI2101L,TALLER FENOMENOS TRANSPORTE 1,0.0
FILO6983,TUTORÍA DE INVESTIGACIÓN 3 DOC,8.0
MATE1214,CALCULO INTEGRAL-ECUAC.DIFEREN,3.0
MPER4400,SEM. 1:GENEROS PERIODISTICOS 1,4.0
ANTR6962,PROYECTO DIRIGIDO II,8.0
IELE1000C,COMPL INTR. INGENIERIA ELECTR,0.0
DERE3211,PROPIEDAD INDUSTRIAL,3.0
HIST2412B,HISTORIA DE LOS ESTADOS UNIDOS,3.0
FISI1028C,COMPL. FÍSICA II,0.0
EDUI4030,LA ETICA Y SUS PROBLEMAS,4.0
QUIM1104,LABORATORIO DE QUÍMICA,0.0
MFIN4201,ANÁLISIS DE INVERSIONES,2.0
ARQU1301,TALLER TECNICO 1,3.0
"",,0.0
ICYA1116C,COMPL ESTATICA,0.0
BIOL3320,ENTOMOLOGIA-TEO,3.0
IQUI2020C,COMPL. TERMODINÁMICA,0.0
SICO5104,DIAGN ORG E IND DE GESTION,3.0
ARQU2310,SISTEMAS DE SOPORTE,3.0
IBIO4790,TESIS II,8.0
FILO3362,SEMINARIO MONTAIGNE,3.0
IMEC4700,SEM. DE MAGISTER,0.0
IMEC6981,TESIS 8CR,8.0
EGOB1209B,LIDERAZGO: TEORIA Y PRACTICA,3.0
DEPO1206,ENTRENAMIENTO TOTAL,1.0
ECON2101C,COMPL MICROECONOMÍA 2,0.0
CISO2101,"HIST. Y CRITICA: POPPER, BENJ.",3.0
CBIO6803,SEMIN.INVESTIGACION DOC. L.D.2,8.0
ECON6622,LECTURAS DIRIGIDAS,4.0
EDUC2001,CURSO TUTORIAL DISCIPLINAR,3.0
EDUI4020,HISTORIA Y CIENCIA,4.0
DERE3909,INVESTIGACION DIRIGIDA,0.0
ECON2102C,COMPL MICROECONOMÍA 3,0.0
MBAE4833,RELACIONS SECTOR PRIVADO Y GOB,2.0
MEDI1216,PATOLOGIA,4.0
ANTR3012,SEMILLERO ANTROPOLOG HUMANIDAD,0.0
IQUI1002,LAB. INTRODUCCION ING. QUIMICA,0.0
LITE1611,ESPAÑOL,3.0
IMEC2210,MECANICA FLUIDOS,3.0
CISO4023,CRÍTICA DEL JUICIO,4.0
ICYA2402L,LAB HIDRAULICA,0.0
"",,0.0
MUSI1210,PIANO COMPLEMENTARIO 3,3.0
QUIM1105C,COMPL. DE APLICACIONES,0.0
GEOC3102,YACIMIENTOS MINERALES (L),1.0
PSCL4106,PRÁCTICA CLÍNICA SUPERV. II,6.0
ARQU1410,TALLER CIUDAD 1,3.0
IIND2109,SISTEMAS APOYO A LA DECISION,3.0
ARQU2201,ARQUETIPOS EN ARQUITECTURA,3.0
DEPO1233,VOLEIBOL MIXTO,1.0
LENG1104,INGLÉS 4,0.0
IELE2300L,LAB.ANALISIS SIST. CONTROL,0.0
ICYA2203L,LAB ANALISIS SIST. ESTRUCTURAL,0.0
MGEO4501,TALLER DE PROYECTO DE GRADO,4.0
QUIM1103C,COMPL. DE QUÍMICA,0.0
CBIO4523,EPIGENETICA,4.0
HIST3600,OPCION GRADO MATERIAS MAESTRIA,0.0
IIND3301,SISTEMAS PUBLICOS,3.0
ISIS3302L,"LAB MODELA, SIMULACION Y OPT",0.0
ADMI3110,EMPRENDIMIENTO E INNOVACION,3.0
ANTR6066,ASISTENCIA ACADÉMICA DOCTORAL,6.0
ADMI3210,MERCADOS DERIVADOS (INGLES),3.0
IQUI2104,LAB. FENOMENOS TRANSPORTE 2,0.0
IIND2302,PENS SISTEMICO ORGANIZACIONES,3.0
HIST2204A,GEOGRAFIA DE COLOMBIA,3.0
MUSI1910,CANTO 1,4.0
MECA4501,SEMINARIO PROPUESTA GRADO,2.0
ECON2101,MICROECONOMIA 2,4.0
MADM4368,INVEST. MERCADOS CUALITATIVA,2.0
EDUI4025,FUNDAMENTOS DE INVEST EN EDUCA,4.0
MATE1203,CALCULO DIFERENCIAL,3.0
IIND2401C,REFUERZO ANALIS.DECISION INVER,0.0
MATE1214C,CALC.INTEG-ECUAC.DIFEREN COMPL,0.0
EDUC4719,"CONCEPTOS CIENTÍFICOS, APRENDI",4.0
SICO5503,SEMINARIO TRABAJO FINAL,0.0
CIDE4110,SUSTENTACIÓN,1.0
IIND2103C,REFUERZO PRINCIPIOS OPTIMIZAC.,0.0
ICYA2402L,LAB HIDRAULICA,0.0
LENG1130,WRITING BUSINESS COMMUNICATION,3.0
CISO4021,ARTE Y FILOSOFÍA DE LA IMAGEN,4.0
CSOF5101,CONCEP. AVAN. DE INGENI. SOFTW,2.0
FILO4810,TUTORÍA DE INVESTIGACIÓN 1,6.0
FISI1005,COLOQUIO 2 DE FISICA,1.0
PSCL4105,PRÁCTICA CLÍNICA SUPERVISADA I,6.0
ADMI2605,ORGANIZACIONES,3.0
MUSI1800,ENSAMBLE DE JAZZ,3.0
ICYA1117L,LAB MECANICA DE MATERIALES,0.0
MHAR4002,VISIONES INVESTIGACIONCREACION,4.0
FISI1028C,COMPL. FÍSICA II,0.0
PSIC3882,EMOCIONES MORALES,3.0
CPOL3300,SEM POLITICA COLOMBIANA,3.0
MATE1203C,CALCULO DIFERENCIAL COMPL.,0.0
FISI1018C,COMPL. FÍSICA I,0.0
IIND2400,SIST. DE CONTROL GERENCIAL,3.0
ICYA1122L,LAB MATERIALES ING CIVIL,0.0
ADMI2801,LA GESTION DE LO PUBLICO,3.0
FISI1019,FISICA EXPERIMENTAL I,1.0
IQUI1002,LAB. INTRODUCCION ING. QUIMICA,0.0
IIND1000,INTROD. INGEN. INDUSTRIAL,3.0
IIND2302,PENS SISTEMICO ORGANIZACIONES,3.0
MUSI1417,INSTRUMENTO 3 - 15 - GUITARRA,4.0
DISE1415,MEDIOS MIXTOS,3.0
ECON4651,APLIC EMPIR EN ECON POLITICA,4.0
IELE2100L,LAB.ELEM.SISTEMAS ELECTRICOS,0.0
SICO5602,ESTRATEGIA ORGANIZACION. Y BSC,3.0
PLEN4203,TUTORIA INVESTIGACION-ACCION,4.0
BIOL3321,ENTOMOLOGIA-LAB,1.0
IELE2300L,LAB.ANALISIS SIST. CONTROL,0.0
QUIM1619,LAB FUNDAM ANÁLISIS QUÍMICO,0.0
ISIS1204L,LAB ALGORITMICA Y PROG. OBJ I,0.0
FILO1501B,FILOSOFÍA DE LA CIENCIA,3.0
ARQU2102,PROYECTO TECTONICA,5.0
MBIO2302,BIOLOGIA DE HONGOS-TEO,3.0
MATE1214C,CALC.INTEG-ECUAC.DIFEREN COMPL,0.0
MUSI1415,INSTRUMENTO 1 - 15 - OBOE,4.0
ARQU3829,ANALISIS UI ARQU URBANA,3.0
HIST3991,PRACTICA PROFESIONAL,6.0
HIST4709,COLOQUIO,0.0
MDIS4601,ESTUDIO MAESTRÍA 4 PROYECTO D,4.0
IELE1010,CIRCUITOS E INSTRUMENTACION,3.0
IQUI2023,LAB. TERMODINAMICA,0.0
LITE3524,LIT. CATALANA DEL SIGLO XX,3.0
IIND3311,ESTRATEGIA ORGANIZACIONAL,3.0
GEOC3049,LAB. SÍSMICA Y SISMOLOGÍA,0.0
FILO3010,CODIGO DE MONOGRAFIA,3.0
MATE1213,MATEMATICAS 3 (BIO-MED),3.0
DEPO3248,NATACION INTERMEDIOS,1.0
IELE6980,TESIS 4CR,4.0
MADM4206,GERENCIA FINANCIERA,4.0
DISE3199,ESTUDIO 8: PROYECTO DE GRADO,3.0
MBIO2300,BACTERIOLOGIA-TEO,3.0
LENG1105,INGLÉS 5,0.0
ARTE1407,ARTISTA OBRA ESPACIO,3.0
ANTR3183,TRABAJO DIRIG ANTR BIOLOGICA,3.0
MBIO2305,PARASITOLOGIA-LAB,1.0
DECA2201,INTERCAMBIO,0.0
MATE1203,CALCULO DIFERENCIAL,3.0
MDIS4601,ESTUDIO MAESTRÍA 4 PROYECTO D,4.0
LITE3904,SEMINARIO-TRABAJO DE GRADO,6.0
FISI1019,FISICA EXPERIMENTAL I,1.0
ISIS2203L,LAB INFRAESTRUCTURA COMPUTACIO,0.0
MGAP4411,EMPRENDIMIENTO SOCIO-AMBIENTAL,2.0
LENG1103,INGLÉS 3,0.0
MBAE4653,CAMBIO ORGANIZACIONAL,2.0
DISE1312,TALLER DIGITAL,3.0
FISI1019,FISICA EXPERIMENTAL I,1.0
MSIN4101,ING CRIPTOGRAFICA Y APLIC SERV,4.0
QUIM1104,LABORATORIO DE QUÍMICA,0.0
EDUC6012,ELABORACIÓN DE PROPUESTA II,6.0
ICYA2402C,COMPL HIDRAULICA,0.0
MATE1203,CALCULO DIFERENCIAL,3.0
MISO4202,MEJOR. PRODUCT: AUTOMATIZACION,4.0
PSIC3921,APREN. DENTRO-FUERA DE ESCUELA,3.0
MUSI1601,TECLADO 2,2.0
EINT4202,TRABAJO DE GRADO,4.0
MUSI1208,PIANO COMPLEMENTARIO 1,3.0
ADMI2207,COLOMBIA Y SUS INSTITUCIONES,3.0
CISO2111,TEORIAS CONTEM:PENSAR LAS ESTR,3.0
MUSI2408,CONJUNTO CUERDAS,3.0
"",,0.0
ISIS1404,TI EN LAS ORGANIZACIONES,3.0
ECON1001C,COMPL INTROD. ECON COLOMBIANA,0.0
LENG1105,INGLÉS 5,0.0
IIND2401C,REFUERZO ANALIS.DECISION INVER,0.0
ECON1006C,COMPL.PENSANDO PROBLEMAS,0.0
FILO3397,"DIFERENCIA, RECON. Y LENGUAJE",3.0
ECON3743,APLIC EMPIR EN ECON POLITICA,3.0
DEPO3110,SELECCION FRISBEE ULTIMATE,1.0
MDIS4203,FUNDAMENTOS 3,4.0
ICYA2402L,LAB HIDRAULICA,0.0
BIOL3909,"TRABAJO GRADO, MONOG.PRAT.GRAD",4.0
LENG1104,INGLÉS 4,0.0
IQUI2301,LAB. INGENIERIA REACCIONES,0.0
ADMI3128B,GESTIÓN CULT.:NOCIONES BÁSICAS,3.0
ANTR6961,PROYECTO DIRIGIDO I,4.0
ISIS2007,DISEÑO PROD. E INNOVACIÓN TI,3.0
MEDI1200,ANATOMIA,7.0
IELE2010L,LAB MATERIALES PARA IEE,0.0
DEPO1221,FRISBEE ULTIMATE INTERMEDIOS,1.0
CBIO4800,SEMINARIOS INVESTIGACION L.D.,4.0
PSIC4106,DISEÑO PROY INV II COLOQI,4.0
MIAD4102,MÉTODOS I,4.0
PSIC3916,PSICOANALISIS NIÑOS,3.0
ARTE1105,FOTO BASICA 1,3.0
IBIO4702,PROYECTO ESPECIAL MAESTRIA,4.0
LITE2516B,HOMERO,3.0
MUSI1210,PIANO COMPLEMENTARIO 3,3.0
MTRI4401,TRIBUT M&A COM EXT Y Z FRANCAS,4.0
FISI1028C,COMPL. FÍSICA II,0.0
ADMI3135B,CINE MEDIO AMBIENTE Y SOCIEDAD,3.0
LENG1103,INGLÉS 3,0.0
ECON4503,ECONOMIA SUELO URBANO,4.0
MPET4114,SIMULACIÓN DE YACIMIENTOS,4.0
DEPO1218,TENIS DE CAMPO AVANZADOS,1.0
MATE1201,PRECALCULO,3.0
DERE3204,PROCESOS DECLAR EJECUT Y ARBIT,3.0
MUSI1416,INSTRUMENTO 2 - 15 - PIANO,4.0
EECO5504,FINANZAS INTERNACIONALES,2.0
EDUC4022,TALLER DE REDACCION,0.0
LITE3523,LIT. PORTUGUESA CONTEMPORÁNEA,3.0
FISI1018C,COMPL. FÍSICA I,0.0
IIND3113,SIMULAC. EVENTOS DISCRETOS,3.0
MUSI1400,INSTRUMENTO COMPL.1- CANTO,3.0
MPAZ4000,COLOQUIO MAESTRÍA CONSTR. PAZ,4.0
MUSI1600,TECLADO 1,2.0
ICYA1125L,LABORATORIO DE GEOMÁTICA,0.0
QUIM1103C,COMPL. DE QUÍMICA,0.0
EDUC4206,TESIS 1,6.0
IQUI3041,TALLER MODELAMIEN.Y SIMULACION,0.0
MATE1201,PRECALCULO,3.0
ECON6622,LECTURAS DIRIGIDAS,4.0
ANTR6990,SUSTENTACION DE TESIS DOCTORAL,0.0
FISI1028C,COMPL. FÍSICA II,0.0
IBIO6980,TESIS 4CR,4.0
CISO4027,TEORIA ANTROPOLOGIA BIOLOGICA,4.0
IIND2301C,REFUERZO DINÁMICA DE SISTEMAS,0.0
IELE3110,ECONOMIA SISTEMAS DE POTENCIA,3.0
ISIS1207,ALG. Y PROGR. OBJ. I (HONORES),3.0
LENG1106,INGLÉS 6,0.0
IELE4001,SEMINARIO MAGÍSTER 1,0.0
CIDE4159,CURSO ELECTIVO 6,5.0
IIND2302C,COMPL. PENS SISTE ORGANIZACION,0.0
PSCL4110,REVISTA DE CASOS CLÍNICOS II,0.0
ISIS1206,ESTRUCTURAS DE DATOS,3.0
HIST3409,S. PERSPECTIVAS HISTORIOGRAF.,3.0
IBIO1110,PROGRAMA DE ACOMPAÑAMIENTO,0.0
ISIS3425,SISTEMAS EMPRESARIALES,3.0
IIND1001,PROGRAMA DE ACOMPAÑAMIENTO,0.0
DEPO2202,DANZA CONTEMPORANEA ANDANZA,1.0
DISE1312,TALLER DIGITAL,3.0
HIST2205A,HISTORIA DE COLOMBIA,3.0
MATE1214C,CALC.INTEG-ECUAC.DIFEREN COMPL,0.0
IIND1001,PROGRAMA DE ACOMPAÑAMIENTO,0.0
CISO2000,HISTORIA Y SOCIOLO DE LA CIENC,3.0
HIST3993,PRACTICA DE GRADO,6.0
MUSI1105B,MUSICA SIGLOS XVII Y XVIII,3.0
ISIS1206L,LAB. ESTRUCTURAS DATOS,0.0
MLIT4329,SEM.NOV. ESPAÑOLA CONTEMPORÁNE,4.0
MMER4305,GERENCIA DE MARCA,2.0
ARQU3854,TEORIA UI ARQU Y BELLEZA,3.0
AUTO5228,INSTALACIONES AREAS CLASIFICAD,1.0
IBIO2780,PROYECTO DE DISEÑO 1,3.0
IQUI3042,TALLER DE OPTIMIZACION,0.0
ISIS1206L,LAB. ESTRUCTURAS DATOS,0.0
FISI1028C,COMPL. FÍSICA II,0.0
LENG1105,INGLÉS 5,0.0
DERE2303,DERECHO PUBLICO ADMINISTRATIVO,3.0
ICYA3306L,LAB SISTEMAS DE TRANSPORTE,0.0
CPOL2308B,PARTIDOS POLITICOS Y ELECCIONE,3.0
ISIS1204L,LAB ALGORITMICA Y PROG. OBJ I,0.0
LENG1104,INGLÉS 4,0.0
BIOL2311,VERTEBRADOS LAB,1.0
LITE1611,ESPAÑOL,3.0
MATE1201,PRECALCULO,3.0
DIGS5202,DINAMICAS TECNOLOGICAS,2.0
IIND2401C,REFUERZO ANALIS.DECISION INVER,0.0
HIST2403B,DE BISMARCK A HITLER 1871-1945,3.0
DERE3101,HERMENEUTICA JURIDICA,3.0
MATE1207,CALCULO VECTORIAL,3.0
ARQU1410,TALLER CIUDAD 1,3.0
ARTE3602,ANTEPROYECTO NUEVO,3.0
ECON2301C,COMPL ECONOMETRIA 1,0.0
CISO4602,DEMOCRACIA Y DEMOCRATIZACION,4.0
PSIC3962,DESARROLLO PSICOLOGICO,4.0
QUIM1104,LABORATORIO DE QUÍMICA,0.0
EGOB4113,SEMINARIO DE POSTGRADO III,0.0
QUIM6997,PASANTIA ESTUDIANTES EXTERNOS,0.0
PSIC3812,PRÁCTICA 2 06,9.0
BIOL2311,VERTEBRADOS LAB,1.0
DERE3301,RESPONSABILIDAD DEL ESTADO,3.0
IMEC3345L,LAB DE SIST DE CONV DE ENERGIA,0.0
CISO4013,"PSICOLOGIA, SALUD Y BIENESTAR",4.0
FISI1028C,COMPL. FÍSICA II,0.0
ARTE1410A,PATRIMONIO CULTURAL,3.0
BIOL1327,ECOLOGIA: PRINCIPIOS Y APLICA.,3.0
QUIM3516,QUIMICA COMPUTACIONAL,3.0
DERE2206,PROPIEDAD Y DERE REALES 3 SEM,3.0
AUTO5227,OPTIMIZACION,1.0
FISI1028C,COMPL. FÍSICA II,0.0
IBIO1011,LAB INTRO ING BIOMÉDICA,0.0
ICYA3202,DISEÑO ESTRUCTURAL,3.0
CONT1221,TALLER DE COMUNICACIÓN ORAL,1.0
MUSI1208,PIANO COMPLEMENTARIO 1,3.0
MBIO2401,BIOESTADISTICA-LAB,1.0
ECON2201,MACROECONOMIA 2,4.0
LENG1104,INGLÉS 4,0.0
ISIS1404L,LAB TI EN LAS ORGANIZACIONES,0.0
IIND2104C,REFUERZO MODELOS PROBABILISTIC,0.0
FILO3991,PRACTICA DE TIEMPO COMPLETO,6.0
ICYA2402C,COMPL HIDRAULICA,0.0
IIND2301C,REFUERZO DINÁMICA DE SISTEMAS,0.0
DERE1103,SOCIOLOGIA JURIDICA,3.0
DEPO3402,SELECCION VOLEIBOL ARENA FEMEN,1.0
DECA1001,HERRAMIENTAS VIDA UNIVERSITARI,1.0
SICO5202,RECONSTRUCCION CONVERSACIONAL,3.0
FISI1048,FISICA MODERNA,3.0
IELE2002,TEORÍA ELECTROMAGNÉTICA,3.0
MATE1105C,ALGEBRA LINEAL 1 COMPL,0.0
ECON2105C,COMPL. TEORIA DE JUEGOS,0.0
IMEC2543L,LAB DINAMICA DE MAQUINARIA,0.0
MUSI1417,INSTRUMENTO 3 - 15 - TROMPETA,4.0
IIND2401,ANALIS.DECISION INVERSION,3.0
BCOM4102,ECOL.MICROB.Y HERRAM.ANA.BIOIN,4.0
IIND2104,MODELOS PROBABILISTICOS,3.0
IELE3006L,LAB OPTIMIZACION,0.0
LITE3405,SEMINARIO DE GRIEGO IV,3.0
ARTE1116,TALLER BASICO 1,3.0
DDER6980,INVESTIGACION DOCTORAL 1,6.0
IIND2302C,COMPL. PENS SISTE ORGANIZACION,0.0
ECON6984,INVESTIGACION TESIS DOCTORAL 5,1.0
ISIS1205L,LAB ALGORITMICA Y PROG. OBJ II,0.0
ISIS1204,ALGORITMICA Y PROGR. OBJ. I,3.0
ARTE2100,DIBUJO DEL CUERPO,3.0
MPET4500,PROYECTO COLECTIVO INTEGRADOR,4.0
FILO6100,SEM DOCTORADO 1,4.0
IIND2106C,REFUERZO PROBA Y ESTAD I,0.0
LENG1104,INGLÉS 4,0.0
DEPO3106,SQUASH AVANZADOS,1.0
IIND2106C,REFUERZO PROBA Y ESTAD I,0.0
IIND2107,PROBABILIDAD Y ESTADISTICA II,3.0
DEPO1227,PILATES,1.0
EDUC4206,TESIS 1,6.0
ICYA3202C,COMPL DISEÑO ESTRUCTURAL,0.0
ECON4113C,COMPL MICRO AVANZ TEORIA DE J,0.0
ANTR1118A,NATURALEZA Y CULTURA,3.0
EDUC6990,SUSTENTACIÓN DE TESIS DOCTORAL,0.0
MBIO3602,MICROBIOLOGIA DE ALIMENTOS-TEO,3.0
FISI1022C,COMPL. FÍSICA BÁSICA 2,0.0
QUIM2314,QUIMICA ORGANICA III,3.0
DEPO1256,SALSA INTERMEDIO,1.0
FISI1028C,COMPL. FÍSICA II,0.0
EDUC4206,TESIS 1,6.0
EGOB4112,PROYECTO DE GRADO I,3.0
IELE2206L,LAB FUNDAMENTOS DE ELECTRÓNICA,0.0
ICYA3305L,LAB ESTRUCTURAS GEOTECNICAS,0.0
ANTR6063,INVESTIGACIÓN DIRIGIDA 1,7.0
FILO6961,TUTORIAL DE PROYECTO 2,4.0
QUIM1104,LABORATORIO DE QUÍMICA,0.0
DERE2601,DERECHO INTERNACIONAL (INGLES),3.0
CIDE4128,INTRODUCCIÓN A LOS MÉTODOS DE,4.0
FISI1018C,COMPL. FÍSICA I,0.0
EDUC4207,TESIS 2,6.0
MATE1214C,CALC.INTEG-ECUAC.DIFEREN COMPL,0.0
ECON3762,ECONOMÍA POLÍTICA DE GÉNERO,3.0
PSIC3708,INVES.DIRIGIDA 2.,3.0
